ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
vid;;1:16-cv-00011,vid,2016,1:16-cv-00011,5,04/21/2016,Magistrate Courtroom 277 before US Magistrate Judge George W. Cannon. Initial Disclosures due by 5/,104,203,Magistrate Courtroom 277 before US Magistrate Judge,George W. Cannon,. Initial Disclosures due by 5/,156,172,line_entry,SPACY JNLP2
vid;;1:16-cv-00011,vid,2016,1:16-cv-00011,6,05/10/2016,Laudat. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Text,58,143,Laudat. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Text,103,119,line_entry,SPACY JNLP2
vid;;1:16-cv-00011,vid,2016,1:16-cv-00011,8,05/11/2016,Magistrate Courtroom 277 before US Magistrate Judge George W. Cannon. All attorneys must attend in person,134,239,Magistrate Courtroom 277 before US Magistrate Judge,George W. Cannon,. All attorneys must attend in person,186,202,line_entry,SPACY JNLP2
vid;;1:16-cv-00011,vid,2016,1:16-cv-00011,12,06/14/2016,Laudat. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Supplement,51,142,Laudat. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Supplement,96,112,line_entry,SPACY JNLP2
vid;;1:16-cv-00011,vid,2016,1:16-cv-00011,13,06/14/2016,Magistrate Courtroom 277 before US Magistrate Judge George W. Cannon. Plaintiff's counsel must bring his,138,242,Magistrate Courtroom 277 before US Magistrate Judge,George W. Cannon,. Plaintiff's counsel must bring his,190,206,line_entry,SPACY JNLP2
vid;;1:16-cv-00011,vid,2016,1:16-cv-00011,14,06/17/2016,Laudat. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Text,87,172,Laudat. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Text,132,148,line_entry,SPACY JNLP2
vid;;1:16-cv-00011,vid,2016,1:16-cv-00011,16,06/23/2016,for proceedings held before US Magistrate Judge George W. Cannon: Motion Hearing held on 6/,13,104,for proceedings held before US Magistrate Judge,George W. Cannon,: Motion Hearing held on 6/,61,77,line_entry,SPACY JNLP2
vid;;1:16-cv-00027,vid,2016,1:16-cv-00027,8,06/13/2016,Cedelle. Motions referred to Magistrate Judge George W. Cannon. (TNS) (Entered:,143,222,Cedelle. Motions referred to Magistrate Judge,George W. Cannon,. (TNS) (Entered:,189,205,line_entry,SPACY JNLP2
vid;;1:16-cv-00027,vid,2016,1:16-cv-00027,17,08/22/2016,Cedelle. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Affidavit,136,227,Cedelle. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Affidavit,182,198,line_entry,SPACY JNLP2
vid;;1:16-cv-00027,vid,2016,1:16-cv-00027,29,11/10/2016,Herishelapaheru. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Affidavit,60,159,Herishelapaheru. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Affidavit,114,130,line_entry,SPACY JNLP2
vid;;1:16-cv-00027,vid,2016,1:16-cv-00027,34,12/12/2016,Herishelapaheru. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Affidavit,87,186,Herishelapaheru. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Affidavit,141,157,line_entry,SPACY JNLP2
vid;;1:16-cv-00027,vid,2016,1:16-cv-00027,36,03/21/2017,Herishelapaheru. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Text,120,214,Herishelapaheru. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Text,174,190,line_entry,SPACY JNLP2
vid;;1:16-cv-00027,vid,2016,1:16-cv-00027,38,03/23/2017,Herishelapaheru. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Text,61,155,Herishelapaheru. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Text,115,131,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,1,06/09/2016,in STT Courtroom 2 before Magistrate Judge Ruth Miller. (Defendant should be present),96,181,in STT Courtroom 2 before Magistrate Judge,Ruth Miller,. (Defendant should be present),139,150,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,4,06/15/2016,Entry for proceedings held before Magistrate Judge Ruth Miller:Arraignment as to Sierra Wimberly (,7,105,Entry for proceedings held before Magistrate Judge,Ruth Miller,:Arraignment as to Sierra Wimberly (,58,69,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,5,06/15/2016,). Proceedings held before Magistrate Judge Ruth Miller: Arraignment held on 6/15,9,90,). Proceedings held before Magistrate Judge,Ruth Miller,: Arraignment held on 6/15,53,64,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,5,06/15/2016,"in STT Courtroom 1 before District Judge Curtis V. Gomez., Omnibus Hearing set for 7",136,220,in STT Courtroom 1 before District Judge,Curtis V. Gomez,"., Omnibus Hearing set for 7",177,192,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,5,06/15/2016,"in STT Courtroom 1 before District Judge Curtis V. Gomez., Pretrial Conference set for 7",238,326,in STT Courtroom 1 before District Judge,Curtis V. Gomez,"., Pretrial Conference set for 7",279,294,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,5,06/15/2016,in STT Courtroom 2 before Magistrate Judge Ruth Miller.). Discovery due by 6,344,420,in STT Courtroom 2 before Magistrate Judge,Ruth Miller,.). Discovery due by 6,387,398,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,9,07/13/2016,Entry for proceedings held before Magistrate Judge Ruth Miller:Pretrial Conference as to Sierra Wimberly,7,111,Entry for proceedings held before Magistrate Judge,Ruth Miller,:Pretrial Conference as to Sierra Wimberly,58,69,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,15,07/29/2016,Entry for proceedings held before District Judge Curtis V. Gomez:Telephone Conference as to Noelle Bishopel,7,114,Entry for proceedings held before District Judge,Curtis V. Gomez,:Telephone Conference as to Noelle Bishopel,56,71,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,20,08/09/2016,Entry for proceedings held before District Judge Curtis V. Gomez:Change of Plea Hearing as to,7,100,Entry for proceedings held before District Judge,Curtis V. Gomez,:Change of Plea Hearing as to,56,71,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,20,08/09/2016,in STT Courtroom 1 before District Judge Curtis V. Gomez. (Court Reporter Chandra Kean.,190,277,in STT Courtroom 1 before District Judge,Curtis V. Gomez,. (Court Reporter Chandra Kean.,231,246,line_entry,SPACY JNLP2
vid;;3:16-cr-00023,vid,2016,3:16-cr-00023,36,12/08/2016,Entry for proceedings held before District Judge Curtis V. Gomez:Sentencing held on 12/8,7,95,Entry for proceedings held before District Judge,Curtis V. Gomez,:Sentencing held on 12/8,56,71,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,6,07/22/2016,"Ferraro. Motions referred to Magistrate Judge George W. Cannon. (Rohn, Lee) (",71,148,Ferraro. Motions referred to Magistrate Judge,George W. Cannon,". (Rohn, Lee) (",117,133,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,9,07/25/2016,Ferraro. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,71,160,Ferraro. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,117,133,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,19,07/27/2016,in STX Courtroom 1 before Chief Judge Wilma A. Lewis. (This is a TEXT ENTRY,398,473,in STX Courtroom 1 before Chief Judge,Wilma A. Lewis,. (This is a TEXT ENTRY,436,450,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,20,07/28/2016,"Ferraro. Motions referred to Magistrate Judge George W. Cannon. (Rohn, Lee) (",74,151,Ferraro. Motions referred to Magistrate Judge,George W. Cannon,". (Rohn, Lee) (",120,136,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,21,07/28/2016,"Gayanich. Motions referred to Magistrate Judge George W. Cannon. (Eckard, Mark) (",240,321,Gayanich. Motions referred to Magistrate Judge,George W. Cannon,". (Eckard, Mark) (",287,303,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,24,07/28/2016,"Gayanich. Motions referred to Magistrate Judge George W. Cannon. (Moorhead, Jeffrey) (",115,201,Gayanich. Motions referred to Magistrate Judge,George W. Cannon,". (Moorhead, Jeffrey) (",162,178,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,28,08/03/2016,"Gayanich. Motions referred to Magistrate Judge George W. Cannon. (Moorhead, Jeffrey) (",71,157,Gayanich. Motions referred to Magistrate Judge,George W. Cannon,". (Moorhead, Jeffrey) (",118,134,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,34,08/04/2016,Ferraro. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,52,141,Ferraro. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,98,114,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,35,08/05/2016,Ferraro. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Text,268,354,Ferraro. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Text,314,330,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,36,08/05/2016,Entry for proceedings held before Chief Judge Wilma A. Lewis: Evidentiary Hearing held on 8/,7,99,Entry for proceedings held before Chief Judge,Wilma A. Lewis,: Evidentiary Hearing held on 8/,53,67,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,39,08/19/2016,"Gayanich. Motions referred to Magistrate Judge George W. Cannon. (Moorhead, Jeffrey) Modified",38,131,Gayanich. Motions referred to Magistrate Judge,George W. Cannon,". (Moorhead, Jeffrey) Modified",85,101,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,42,09/08/2016,"Gayanich. Motions referred to Magistrate Judge George W. Cannon. (Moorhead, Jeffrey) Modified",38,131,Gayanich. Motions referred to Magistrate Judge,George W. Cannon,". (Moorhead, Jeffrey) Modified",85,101,line_entry,SPACY JNLP2
vid;;1:16-cv-00022,vid,2016,1:16-cv-00022,53,07/24/2017,in STX Courtroom 1 before Chief Judge Wilma A. Lewis to discuss the surviving claims in Plaintiff,296,393,in STX Courtroom 1 before Chief Judge,Wilma A. Lewis,to discuss the surviving claims in Plaintiff,334,348,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,27,10/21/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,137,228,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,185,201,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,29,10/24/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,101,192,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,149,165,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,33,10/27/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,101,192,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,149,165,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,34,10/27/2016,America. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Text,77,163,America. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Text,123,139,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,39,10/31/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,90,181,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,138,154,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,40,10/31/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,87,178,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,135,151,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,41,10/31/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,78,169,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,126,142,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,46,11/14/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,71,162,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,119,135,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,53,11/17/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,114,205,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,162,178,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,54,11/18/2016,This case is reassigned to District Judge Curtis V. Gomez for all further proceedings. Chief Judge,47,145,This case is reassigned to District Judge,Curtis V. Gomez,for all further proceedings. Chief Judge,89,104,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,54,11/18/2016,for all further proceedings. Chief Judge Wilma A. Lewis is no longer assigned to this case,105,195,for all further proceedings. Chief Judge,Wilma A. Lewis,is no longer assigned to this case,146,160,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,55,11/18/2016,America. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,90,179,America. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,136,152,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,59,11/29/2016,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,80,171,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,128,144,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,67,12/15/2016,"Inc.. Motions referred to Magistrate Judge George W. Cannon. (Dema, John) (",179,254,Inc.. Motions referred to Magistrate Judge,George W. Cannon,". (Dema, John) (",222,238,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,70,01/11/2017,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,84,175,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,132,148,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,77,04/28/2017,"AM in Chambers before US Magistrate Judge George W. Cannon, Jr.. (KMD) (Entered: 04",85,168,AM in Chambers before US Magistrate Judge,"George W. Cannon, Jr..",(KMD) (Entered: 04,127,149,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,79,05/05/2017,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,81,172,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,129,145,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,80,05/08/2017,AMERICA. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Proposed,132,222,AMERICA. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Proposed,178,194,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,83,05/12/2017,for proceedings held before US Magistrate Judge George W. Cannon: Status Conference held on 5/,13,107,for proceedings held before US Magistrate Judge,George W. Cannon,: Status Conference held on 5/,61,77,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,86,05/19/2017,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,123,214,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,171,187,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,89,05/26/2017,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,85,176,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,133,149,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,91,06/05/2017,"Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Dodson, J. Daryl",83,166,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,". (Dodson, J. Daryl",131,147,line_entry,SPACY JNLP2
vid;;1:16-cv-00059,vid,2016,1:16-cv-00059,93,06/12/2017,Saakvitne. Motions referred to Magistrate Judge George W. Cannon. (Attachments: # 1 Exhibit,75,166,Saakvitne. Motions referred to Magistrate Judge,George W. Cannon,. (Attachments: # 1 Exhibit,123,139,line_entry,SPACY JNLP2
